Row Labels,Average of Results Quality,Average of Duration
Mediterranean diet health benefits,1.844627857208252,0.25,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Civil Rights Movement 1960s protests,2.4681591987609863,0.138,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Manhattan Project atomic bomb,1.52846097946167,0.274,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Cheese types and production,1.8334038257598877,0.378,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Anime history Japan Studio Ghibli,1.8635649681091309,0.135,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Berlin Wall fall reunification,1.6367788314819336,0.081,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Sushi origins Japan,1.3194220066070557,0.139,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
World War I causes consequences,2.692234992980957,0.0,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Higgs Boson discovery physics,1.6982510089874268,0.326,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Golden Age of Hollywood films,2.360366106033325,0.0,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Byzantine Empire Constantinople history,1.5182600021362305,0.552,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Turing Machine early computing,1.4821829795837402,0.277,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Theory of Relativity Einstein,1.2082092761993408,0.425,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Mobile phone technology evolution,1.4144370555877686,0.112,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
History of chocolate production,1.0295360088348389,0.177,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Apollo 11 moon landing 1969,1.7303571701049805,0.114,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Gothic architecture medieval cathedrals,1.8375849723815918,0.604,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Russian Revolution 1917 Bolsheviks,1.6668741703033447,0.396,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Academy Awards history Oscars,2.633808135986328,0.626,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Fermentation food preservation techniques,1.3506770133972168,0.243,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
History of pizza Italian cuisine,1.7123818397521973,0.538,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
French cuisine traditional dishes,1.8443069458007812,0.224,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Endangered species conservation efforts,1.8392839431762695,0.302,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Greek mythology Western culture,1.7837607860565186,0.132,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Cold War proxy conflicts,1.8554890155792236,0.353,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Nelson Mandela apartheid biography,1.5798499584197998,0.231,2025-01-26 17:13:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.6,pv_weight = 0.2"
Human Genome Project DNA mapping,2.1536710262298584,0.488,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Italian pasta varieties and recipes,1.4968280792236328,0.083,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Street food around the world,2.3856661319732666,0.092,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Surrealism art Salvador Dalí,1.9515929222106934,0.351,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Mediterranean diet health benefits,1.388664722442627,0.224,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Civil Rights Movement 1960s protests,2.2508227825164795,0.138,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Manhattan Project atomic bomb,1.5799570083618164,0.31,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Cheese types and production,1.4820082187652588,0.449,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Anime history Japan Studio Ghibli,2.173311948776245,0.135,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Berlin Wall fall reunification,1.5981769561767578,0.081,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Sushi origins Japan,1.2744300365447998,0.139,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
World War I causes consequences,2.641695022583008,0.112,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Higgs Boson discovery physics,1.3867249488830566,0.326,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Golden Age of Hollywood films,2.214062213897705,0.083,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Byzantine Empire Constantinople history,1.1375701427459717,0.504,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Turing Machine early computing,1.7492082118988037,0.306,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Theory of Relativity Einstein,1.3007440567016602,0.425,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Mobile phone technology evolution,1.3900012969970703,0.137,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
History of chocolate production,0.9927551746368408,0.177,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Apollo 11 moon landing 1969,1.6661040782928467,0.114,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Gothic architecture medieval cathedrals,1.741715908050537,0.577,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Russian Revolution 1917 Bolsheviks,3.3375329971313477,0.366,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Academy Awards history Oscars,2.1586601734161377,0.724,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Fermentation food preservation techniques,1.375586748123169,0.243,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
History of pizza Italian cuisine,1.2085270881652832,0.538,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
French cuisine traditional dishes,1.5572211742401123,0.224,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Endangered species conservation efforts,1.7066218852996826,0.302,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Greek mythology Western culture,1.651259183883667,0.132,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Cold War proxy conflicts,1.8552501201629639,0.353,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Nelson Mandela apartheid biography,1.4570529460906982,0.179,2025-01-26 17:16:41,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.4"
Human Genome Project DNA mapping,2.030164957046509,0.488,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Italian pasta varieties and recipes,1.7171778678894043,0.083,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Street food around the world,2.29827618598938,0.092,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Surrealism art Salvador Dalí,1.619668960571289,0.351,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Mediterranean diet health benefits,1.4149131774902344,0.25,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Civil Rights Movement 1960s protests,2.558100938796997,0.192,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Manhattan Project atomic bomb,1.3605151176452637,0.31,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Cheese types and production,1.279928207397461,0.392,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Anime history Japan Studio Ghibli,1.8945810794830322,0.143,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Berlin Wall fall reunification,1.6761679649353027,0.09,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Sushi origins Japan,1.2482388019561768,0.139,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
World War I causes consequences,2.7752058506011963,0.165,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Higgs Boson discovery physics,1.5175349712371826,0.326,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Golden Age of Hollywood films,4.081387042999268,0.132,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.028980016708374,0.593,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Turing Machine early computing,1.9519999027252197,0.334,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Theory of Relativity Einstein,1.1423730850219727,0.39,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Mobile phone technology evolution,1.5689332485198975,0.175,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
History of chocolate production,1.0794949531555176,0.177,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Apollo 11 moon landing 1969,1.7152230739593506,0.16,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Gothic architecture medieval cathedrals,1.3546597957611084,0.629,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,1.5593910217285156,0.396,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Academy Awards history Oscars,2.2771549224853516,0.745,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Fermentation food preservation techniques,1.3349361419677734,0.255,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
History of pizza Italian cuisine,1.2984411716461182,0.538,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
French cuisine traditional dishes,1.9299511909484863,0.224,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Endangered species conservation efforts,1.6534740924835205,0.302,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Greek mythology Western culture,3.44028902053833,0.25,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Cold War proxy conflicts,1.7876358032226562,0.387,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
Nelson Mandela apartheid biography,1.3222053050994873,0.231,2025-01-26 17:19:20,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.8, title_weight =0.8, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.5"
