Query,Duration,Results Quality,Timestamp,type
Human Genome Project DNA mapping,1.9086542129516602,0.488,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Italian pasta varieties and recipes,1.6763420104980469,0.083,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Street food around the world,2.5049567222595215,0.092,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Surrealism art Salvador Dalí,2.2924811840057373,0.351,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Mediterranean diet health benefits,1.4409732818603516,0.25,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Civil Rights Movement 1960s protests,2.664285898208618,0.192,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Manhattan Project atomic bomb,1.6318960189819336,0.31,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Cheese types and production,1.2595939636230469,0.392,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Anime history Japan Studio Ghibli,2.0209920406341553,0.143,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Berlin Wall fall reunification,1.839005947113037,0.09,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Sushi origins Japan,3.5460550785064697,0.139,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
World War I causes consequences,2.910949230194092,0.165,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Higgs Boson discovery physics,1.3788681030273438,0.326,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Golden Age of Hollywood films,2.4771080017089844,0.092,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Byzantine Empire Constantinople history,1.3595161437988281,0.593,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Turing Machine early computing,1.6225979328155518,0.334,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Theory of Relativity Einstein,1.4477121829986572,0.39,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Mobile phone technology evolution,1.6130869388580322,0.175,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
History of chocolate production,1.7668180465698242,0.177,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Apollo 11 moon landing 1969,1.5848388671875,0.16,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Gothic architecture medieval cathedrals,1.4852919578552246,0.629,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Russian Revolution 1917 Bolsheviks,2.0537269115448,0.396,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Academy Awards history Oscars,2.374344825744629,0.745,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Fermentation food preservation techniques,1.672112226486206,0.255,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
History of pizza Italian cuisine,1.3979718685150146,0.538,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
French cuisine traditional dishes,1.6850240230560303,0.224,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Endangered species conservation efforts,1.6381897926330566,0.302,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Greek mythology Western culture,1.612713098526001,0.25,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Cold War proxy conflicts,2.4990038871765137,0.387,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Nelson Mandela apartheid biography,1.3366689682006836,0.231,2025-01-26 17:26:33,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Human Genome Project DNA mapping,1.8873398303985596,0.488,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Italian pasta varieties and recipes,1.664377212524414,0.083,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Street food around the world,2.350396156311035,0.092,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Surrealism art Salvador Dalí,1.6518020629882812,0.351,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Mediterranean diet health benefits,1.6662781238555908,0.25,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Civil Rights Movement 1960s protests,2.4787380695343018,0.192,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Manhattan Project atomic bomb,1.4204480648040771,0.31,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Cheese types and production,1.311640977859497,0.392,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Anime history Japan Studio Ghibli,2.5016021728515625,0.143,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Berlin Wall fall reunification,1.8058862686157227,0.09,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Sushi origins Japan,1.5784258842468262,0.139,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
World War I causes consequences,3.062800884246826,0.165,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Higgs Boson discovery physics,1.461040735244751,0.326,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Golden Age of Hollywood films,2.454676866531372,0.092,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Byzantine Empire Constantinople history,1.3031799793243408,0.593,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Turing Machine early computing,1.49820876121521,0.334,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Theory of Relativity Einstein,1.5700209140777588,0.39,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Mobile phone technology evolution,1.8405630588531494,0.175,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
History of chocolate production,1.5389659404754639,0.177,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Apollo 11 moon landing 1969,1.6146669387817383,0.16,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Gothic architecture medieval cathedrals,1.4535880088806152,0.629,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Russian Revolution 1917 Bolsheviks,1.8507299423217773,0.396,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Academy Awards history Oscars,2.398736000061035,0.745,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Fermentation food preservation techniques,1.253387689590454,0.255,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
History of pizza Italian cuisine,1.160701036453247,0.538,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
French cuisine traditional dishes,1.6962697505950928,0.224,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Endangered species conservation efforts,1.7732808589935303,0.302,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Greek mythology Western culture,1.847912073135376,0.25,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Cold War proxy conflicts,2.0411250591278076,0.387,2025-01-26 17:32:44,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =0.85, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
